customer_id,full_name,email,phone,gender,birth_date,registration_date,city_id,address,membership_tier,total_orders,total_spent,city_name
1,Kartika Wibowo,kartika.wibowo783@email.com,081566056427,F,1999-02-25,2025-12-31,7,Jl. Mawar No. 25,Bronze,2,899446,Semarang
2,Putri Putri,putri.putri402@email.com,086689805567,F,2004-05-12,2022-10-22,8,Jl. Mawar No. 8,Bronze,2,7598848,Yogyakarta
3,Nanda Nugroho,nanda.nugroho589@email.com,085737057771,M,1983-06-20,2022-12-16,15,Jl. Sudirman No. 84,Silver,3,1214449,Banda Aceh
4,Lukman Sari,lukman.sari636@email.com,087366750668,M,2002-07-08,2024-03-31,15,Jl. Sudirman No. 88,Bronze,4,4445207,Banda Aceh
5,Nina Lestari,nina.lestari178@email.com,089924488511,F,1999-12-08,2023-12-02,26,Jl. Kenanga No. 125,Bronze,3,6982425,Kupang
6,Kartika Sari,kartika.sari979@email.com,082742870683,F,1993-03-10,2026-08-11,4,Jl. Kenanga No. 28,Silver,2,3540623,Tangerang
7,Kartika Nugroho,kartika.nugroho837@email.com,084478233603,F,1968-02-07,2025-09-14,21,Jl. Thamrin No. 170,Bronze,2,184985,Makassar
8,Maya Lestari,maya.lestari899@email.com,086654744136,F,1977-04-22,2024-07-04,19,Jl. Kenanga No. 174,Bronze,4,3042489,Samarinda
9,Lina Wijaya,lina.wijaya868@email.com,082263513519,F,2004-09-13,2022-01-17,19,Jl. Gajah Mada No. 141,Platinum,6,13304115,Samarinda
10,Umar Wibowo,umar.wibowo443@email.com,086939036170,M,1983-01-08,2022-08-13,12,Jl. Pahlawan No. 112,Silver,6,10430893,Palembang
11,Sandi Kusuma,sandi.kusuma428@email.com,085957540284,M,1989-06-27,2025-02-11,7,Jl. Thamrin No. 35,Bronze,3,7307437,Semarang
12,Fajar Susanto,fajar.susanto141@email.com,086067191149,M,1992-03-03,2024-09-23,29,Jl. Melati No. 109,Silver,4,6829894,Sorong
13,Maya Pratama,maya.pratama592@email.com,084139249064,F,1992-10-01,2023-01-16,8,Jl. Melati No. 69,Bronze,5,10399169,Yogyakarta
14,Bella Santoso,bella.santoso494@email.com,081343868435,F,1988-02-19,2024-09-16,19,Jl. Melati No. 193,Silver,5,4291170,Samarinda
15,Rina Wijaya,rina.wijaya646@email.com,089925293862,F,1970-04-16,2025-06-03,17,Jl. Melati No. 149,Bronze,3,3131586,Pontianak
16,Maman Sari,maman.sari928@email.com,088446676790,M,1995-08-17,2022-01-23,25,Jl. Pahlawan No. 91,Platinum,5,9150995,Mataram
17,Juli Kusuma,juli.kusuma745@email.com,082118594780,F,2003-12-10,2025-11-24,2,Jl. Mawar No. 149,Bronze,6,6605039,Bogor
18,Lukman Utami,lukman.utami85@email.com,088661202977,M,1966-05-16,2025-07-02,24,Jl. Ahmad Yani No. 34,Silver,8,8284566,Denpasar
19,Indah Santoso,indah.santoso757@email.com,087213328054,F,2003-03-19,2022-08-17,24,Jl. Thamrin No. 67,Silver,5,4111576,Denpasar
20,Sandi Kusuma,sandi.kusuma991@email.com,089562384841,M,1967-06-03,2024-12-16,26,Jl. Pahlawan No. 61,Silver,4,3725348,Kupang
21,Irfan Lestari,irfan.lestari774@email.com,084519858899,M,1968-11-09,2023-12-08,24,Jl. Merdeka No. 43,Bronze,2,3102186,Denpasar
22,Juli Nugroho,juli.nugroho700@email.com,088325529753,F,1999-04-13,2026-03-21,24,Jl. Mawar No. 68,Bronze,4,5452160,Denpasar
23,Ani Hidayat,ani.hidayat985@email.com,085105433614,F,1989-11-11,2024-07-08,26,Jl. Sudirman No. 137,Silver,6,8284580,Kupang
24,Wulan Siregar,wulan.siregar822@email.com,085717062885,F,1986-05-09,2023-07-13,21,Jl. Kenanga No. 101,Bronze,8,12670728,Makassar
25,Wawan Utami,wawan.utami185@email.com,089635366717,M,1986-11-23,2024-11-30,7,Jl. Merdeka No. 18,Bronze,6,5569755,Semarang
26,Teguh Wijaya,teguh.wijaya291@email.com,082081885552,M,1987-04-24,2024-07-02,22,Jl. Merdeka No. 7,Silver,6,7666218,Manado
27,Yusuf Ramadhan,yusuf.ramadhan726@email.com,085113699666,M,2003-11-04,2023-03-21,29,Jl. Sudirman No. 155,Bronze,4,2353710,Sorong
28,Eko Susanto,eko.susanto959@email.com,089915124505,M,1983-08-22,2023-06-03,6,Jl. Mawar No. 71,Silver,5,3556719,Bandung
29,Indah Kusuma,indah.kusuma398@email.com,085552917235,F,1982-01-13,2022-06-01,25,Jl. Ahmad Yani No. 46,Bronze,6,12040476,Mataram
30,Gita Lestari,gita.lestari148@email.com,082852220019,F,2006-08-04,2023-01-01,13,Jl. Kenanga No. 165,Bronze,5,7520025,Padang
31,Indah Wijaya,indah.wijaya257@email.com,088633175503,F,1969-10-24,2022-05-30,2,Jl. Merdeka No. 128,Bronze,4,4519361,Bogor
32,Budi Ramadhan,budi.ramadhan927@email.com,089605842084,M,1974-12-11,2023-06-30,13,Jl. Mawar No. 123,Bronze,4,2548819,Padang
33,Umar Putri,umar.putri549@email.com,086836509775,M,1995-02-19,2024-02-27,1,Jl. Ahmad Yani No. 103,Bronze,5,7070258,Jakarta
34,Nanda Sari,nanda.sari785@email.com,081872395778,M,1970-08-25,2023-11-28,28,Jl. Melati No. 11,Platinum,2,3067784,Ambon
35,Lukman Susanto,lukman.susanto499@email.com,088012785094,M,2005-12-12,2022-08-07,13,Jl. Diponegoro No. 36,Bronze,4,1951172,Padang
36,Wawan Putri,wawan.putri316@email.com,088781527616,M,1969-09-21,2024-03-07,16,Jl. Merdeka No. 10,Bronze,9,9568017,Lampung
37,Bella Saputra,bella.saputra470@email.com,083304513663,F,2006-11-17,2023-03-10,4,Jl. Kenanga No. 60,Gold,5,5800348,Tangerang
38,Fajar Nugroho,fajar.nugroho249@email.com,081560655311,M,1995-10-02,2022-02-09,21,Jl. Thamrin No. 162,Bronze,3,1975930,Makassar
39,Dewi Nugroho,dewi.nugroho838@email.com,081456689025,F,2002-02-27,2022-12-16,20,Jl. Mawar No. 153,Silver,2,2762946,Palangkaraya
